"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","3","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","1","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","6","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","3","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","1","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","2","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","3","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","3","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","4","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","2","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","1","%","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","2","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","-","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","1","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","2","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","3","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","1","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","2","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","1","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","2","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","2","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","3","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","1","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","1","%","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","2","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","-","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","1","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","2","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","3","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","2","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","1","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","-","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","1","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","1","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","2","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","4","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","5","%","396"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","5","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","-","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","3","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","4","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","8","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","3","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","4","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","4","%","61420"
